Platform,Member,Videos,Total,Average,Median,StdDev,Min,Max,P25,P75,P90,P99,Top5Avg
TIKTOK,WONYOUNG,111,758126000,6829964,3600000,7204278,226200,30600000,1800000,10700000,17500000,29600000,27800000
TIKTOK,YUJIN,221,840623397,3803726,2400000,3771538,273000,23300000,1300000,4900000,8600000,16700000,18360000
TIKTOK,REI,334,1397957498,4185501,2500000,4886498,331900,35800000,1400000,5000000,8700000,26900000,29100000
TIKTOK,GAEUL,204,786382898,3854818,1900000,5268258,329400,35800000,1200000,4000000,10000000,25300000,27700000
TIKTOK,LIZ,165,626404500,3796391,2400000,4820784,303700,35800000,1300000,4000000,7400000,28500000,24520000
TIKTOK,LEESEO,184,545031098,2962126,1950000,3227501,323100,23300000,1100000,3600000,5400000,15100000,15920000
TIKTOK,GROUP/UNKNOWN,457,1162818733,2544461,1100000,4935204,6836,60600000,727700,2400000,5700000,23000000,38320000
YOUTUBE,WONYOUNG,114,160232000,1405544,726500,1917071,72000,12000000,253000,1800000,3500000,8800000,8240000
YOUTUBE,YUJIN,186,233710000,1256505,647000,1834910,44000,16000000,226000,1500000,3000000,7900000,8860000
YOUTUBE,REI,270,302632000,1120859,542500,1721427,54000,16000000,276000,1100000,2600000,9500000,10000000
YOUTUBE,GAEUL,155,181075000,1168226,542000,1928853,55000,16000000,300000,1200000,2500000,9500000,9360000
YOUTUBE,LIZ,154,151814000,985805,519000,1348066,64000,9500000,253000,1100000,2500000,6300000,6500000
YOUTUBE,LEESEO,153,154027000,1006712,583000,1169068,90000,6300000,351000,1100000,2400000,5800000,5560000
YOUTUBE,GROUP/UNKNOWN,645,547354499,848612,284000,1661454,3500,15000000,147000,691000,2400000,8300000,12800000
DOUYIN,WONYOUNG,44,16460357,374099,89029,917366,20331,4432023,37435,157575,800921,4432023,2597533
DOUYIN,YUJIN,79,4456996,56418,21501,99927,6475,663414,14486,43720,154797,663414,377648
DOUYIN,REI,209,11029873,52775,28968,58991,6089,405827,17712,68760,116194,261224,304551
DOUYIN,GAEUL,107,7718626,72137,34679,86266,6642,508982,19839,89854,202732,338877,344437
DOUYIN,LIZ,90,10094883,112165,42472,161191,8672,878337,22609,119450,311971,878337,624540
DOUYIN,LEESEO,104,8806564,84678,48010,158611,8817,1476534,20186,94340,162011,475420,584795
DOUYIN,GROUP/UNKNOWN,324,17531846,54111,22679,186924,14,3150183,12035,48351,98707,389322,1013418
